view,like,danmaku,reply,favorite,coin,share,point
215473,30583,1219,1193,4870,25827,394,230241
297344,14417,1279,885,1136,4529,692,229200
162692,25250,1916,696,7915,21520,482,228772
283570,22373,1884,781,2091,12691,497,228258
263254,4292,2124,1427,2003,786,4567,227987
457628,1387,251,1208,1791,73,501,227764
207166,6062,1014,746,3616,3976,444,225628
162202,15944,2205,2545,3396,13745,105,223607
121095,10670,3144,1041,9793,2547,1149,223515
254544,23179,1001,682,3043,8727,932,223235
280714,2597,593,1431,1510,177,836,222543
315817,11083,566,402,1061,6907,426,222475
1807878,62531,19829,10138,26971,14863,36821,1490154
1553787,75300,22983,7221,33394,58307,72549,1412765
1470202,91963,14486,5561,7017,37226,1572,1135135
1335903,33590,3393,7018,9755,12063,31401,998944
1438329,101037,11102,3635,11454,44449,1218,997721
1234215,65748,32407,4226,3523,16413,1288,902757
1145590,30136,4079,7256,7209,10461,31772,900867
1166850,71464,2247,2933,8274,34063,9503,818560
900415,40781,1913,738,16791,24349,11481,775918
1052728,41555,5935,3045,2674,14478,1893,721598
774717,67241,7406,2116,9879,30511,1148,681666
1029170,20950,981,650,8020,3500,968,673126
518566,64254,4956,3842,15469,47312,1365,672994
739702,32839,389,1004,12089,3463,9184,621500
622400,53895,3352,1083,14455,36995,4316,613929
561173,92059,3251,2446,12565,151368,715,566550
679805,23111,5327,843,4249,13540,947,561704
617574,57739,3091,1762,9546,15004,5844,549669
726768,552,2789,4411,7,8923,628,538797
436304,46197,2685,1131,16377,47416,676,532458
555568,85220,4579,1361,9140,60236,1710,504437
577770,64765,1245,1021,9238,69262,769,497974
365303,22336,639,434,17071,11657,616,475747
578734,39542,5034,1077,4316,24142,2964,469757
337193,40594,4397,1475,16490,53023,1101,461627
527336,14413,2527,1150,7913,8025,9075,459128
426645,18157,6297,2274,5369,17190,3200,457520
